,region,salary_to_product,poor,very_poor
0,Алтайский край,1.22,17.5,2.4
1,Амурская область,1.52,15.2,2.3
2,Архангельская область,1.52,12.4,1.3
3,Астраханская область,1.36,15.6,1.8
4,Белгородская область,1.73,7.2,0.7
5,Брянская область,1.45,13.8,1.6
6,Владимирская область,1.31,12.4,1.0
7,Волгоградская область,1.35,12.0,1.1
8,Вологодская область,1.39,12.9,1.4
9,Воронежская область,1.58,8.5,1.0
10,Еврейская автономная область,1.19,23.7,2.9
11,Забайкальский край,1.33,21.0,2.8
12,Ивановская область,1.33,13.7,1.5
13,Иркутская область,1.39,17.6,2.2
14,Кабардино-Балкарская,1.18,24.2,3.3
15,Калининградская область,1.37,13.7,1.4
16,Калужская область,1.55,9.7,0.9
17,Камчатский край,1.65,14.9,1.9
18,Карачаево-Черкесская,1.02,23.6,2.8
19,Кемеровская область,1.41,13.2,1.2
20,Кировская область,1.31,14.1,1.3
21,Костромская область,1.35,12.7,1.0
22,Краснодарский край,1.61,10.6,1.4
23,Красноярский край,1.49,17.0,2.6
24,Курганская область,1.14,19.3,2.4
25,Курская область,1.59,9.9,1.0
26,Ленинградская область,1.56,8.8,0.8
27,Липецкая область,1.72,8.5,0.9
28,Магаданская область,2.27,8.7,0.9
29,Москва,2.39,6.3,0.7
30,Московская область,1.97,6.8,0.6
31,Мурманская область,1.94,10.2,0.8
32,Ненецкий АО,2.88,9.4,1.4
33,Нижегородская область,1.59,9.6,1.1
34,Новгородская область,1.4,13.9,1.2
35,Новосибирская область,1.53,13.8,1.7
36,Омская область,1.44,13.6,1.7
37,Оренбургская область,1.36,14.0,1.6
38,Орловская область,1.48,13.0,1.4
39,Пензенская область,1.3,13.0,1.3
40,Пермский край,1.45,13.3,1.8
41,Приморский край,1.55,13.0,1.6
42,Псковская область,1.34,16.2,1.9
43,Адыгея,1.5,12.5,1.8
44,Алтай,1.0,23.8,3.9
45,Башкортостан,1.48,11.7,1.6
46,Бурятия,1.28,20.0,2.7
47,Дагестан,1.43,14.8,2.1
48,Ингушетия,1.02,30.0,4.5
49,Калмыкия,1.03,22.7,3.0
50,Карелия,1.47,15.5,1.6
51,Коми,1.56,15.5,2.1
52,Крым,1.18,17.3,1.8
53,Марий Эл,1.15,19.5,2.7
54,Мордовия,1.17,17.6,2.1
55,Саха (Якутия),1.65,17.4,2.9
56,Северная Осетия — Алания,1.32,13.9,1.5
57,Татарстан,1.88,6.6,0.6
58,Тыва,0.95,34.1,6.8
59,Хакасия,1.22,18.5,1.9
60,Ростовская область,1.48,13.0,1.8
61,Рязанская область,1.38,12.9,1.4
62,Самарская область,1.46,12.3,1.4
63,Санкт-Петербург,2.01,5.9,0.6
64,Саратовская область,1.35,14.8,1.8
65,Сахалинская область,2.23,7.7,0.9
66,Свердловская область,1.75,9.0,1.1
67,Севастополь,1.5,11.0,1.0
68,Смоленская область,1.37,15.9,2.3
69,Ставропольский край,1.16,14.0,1.5
70,Тамбовская область,1.52,10.8,1.0
71,Тверская область,1.42,11.4,0.9
72,Томская область,1.42,14.4,1.6
73,Тульская область,1.45,10.1,0.8
74,Тюменская область,1.52,14.0,1.8
75,Удмуртия,1.38,11.9,1.0
76,Ульяновская область,1.27,15.0,1.7
77,Хабаровский край,1.65,12.0,1.3
78,Ханты-Мансийский АО,2.11,8.4,0.9
79,Челябинская область,1.48,12.8,1.1
80,Чечня,1.22,20.4,3.1
81,Чувашия,1.21,16.8,1.8
82,Чукотский АО,2.38,8.0,1.0
83,Ямало-Ненецкий АО,3.13,5.0,0.6
84,Ярославская область,1.48,9.9,0.9
